Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
1,3,0,1,1,1,1,0,1,1,2,84,77,80
1,3,1,0,1,0,1,0,2,1,1,62,65,67
1,1,4,1,1,1,1,1,2,0,2,57,53,53
0,4,1,1,1,2,1,0,4,0,0,82,84,85
1,3,5,1,1,0,1,1,1,1,1,74,73,69
1,2,0,1,1,1,2,0,3,0,1,82,74,69
0,1,2,1,0,2,2,1,1,0,0,58,70,68
0,1,2,1,1,1,2,1,2,0,1,63,63,60
1,0,5,1,0,2,2,1,2,1,0,47,49,49
0,1,5,1,0,2,2,1,3,0,0,60,70,70
1,3,2,1,1,1,2,1,0,0,0,54,52,52
0,4,4,1,1,2,2,0,1,1,0,62,73,70
0,2,5,0,0,1,2,1,1,0,2,65,80,78
1,2,4,1,0,1,2,0,2,1,0,79,79,78
0,2,5,0,1,1,1,0,2,0,0,45,50,52
0,4,2,1,1,2,2,1,1,0,0,99,93,90
1,3,2,1,1,1,2,0,2,0,0,76,73,68
1,3,5,0,1,0,2,0,1,1,1,57,41,40
0,3,0,1,0,1,1,1,5,1,2,93,94,99
1,2,1,1,1,1,2,1,2,1,0,69,63,61
0,3,4,1,1,1,2,0,2,0,0,65,70,71
1,2,1,1,1,1,2,0,3,1,0,83,78,73
0,2,5,1,0,1,2,1,3,0,1,82,90,91
0,2,5,0,1,1,2,1,1,1,0,65,86,80
1,1,1,0,1,3,2,0,2,1,0,73,56,57
0,3,1,0,1,0,1,0,3,1,0,75,80,86
1,1,0,1,0,1,0,1,3,1,0,78,80,79
1,4,0,1,0,1,1,1,0,0,0,99,83,90
0,1,5,1,1,1,2,0,1,1,1,64,87,80
1,3,5,1,1,1,2,1,2,0,1,83,71,68
1,2,5,1,0,1,0,1,1,0,0,61,59,55
1,3,2,0,0,2,1,1,3,1,0,80,78,82
1,1,0,0,1,1,0,1,1,1,2,66,61,59
0,2,0,1,0,2,0,1,5,1,2,66,83,80
1,1,0,1,1,1,1,1,1,1,0,82,77,65
0,2,0,1,0,1,1,1,2,1,0,76,76,85
1,4,4,1,0,0,1,1,5,0,0,100,88,83
0,1,0,0,1,1,1,0,3,0,2,56,73,70
0,1,0,1,1,1,2,0,2,1,0,73,76,80
1,1,1,1,1,1,0,1,3,1,1,62,58,54
0,2,0,0,0,2,2,1,2,0,2,70,68,70
1,2,2,1,1,1,1,0,3,0,0,73,66,66
0,3,3,1,0,3,0,1,3,0,0,74,80,88
1,2,0,1,1,2,2,0,1,1,0,83,72,78
0,3,0,0,1,2,1,0,1,1,1,55,64,63
0,4,2,1,1,1,0,0,3,0,2,74,85,78
0,2,5,0,1,1,2,1,5,0,0,40,52,51
0,2,4,1,1,2,2,1,3,1,0,82,90,94
1,2,4,1,1,1,2,1,1,1,0,61,61,62
1,0,4,0,1,1,1,1,2,1,2,29,23,19
1,2,0,1,0,1,2,1,5,1,0,82,75,77
0,1,5,1,1,1,2,1,2,1,1,39,54,49
1,4,0,1,0,1,0,0,3,1,2,61,55,52
1,1,0,1,1,2,2,1,1,1,0,90,78,81
0,1,5,0,1,2,2,0,3,1,1,23,37,26
0,3,5,0,0,1,2,1,3,1,0,35,55,60
1,2,2,0,1,1,1,1,1,1,2,61,62,54
1,3,0,1,0,2,2,1,3,0,1,64,70,65
0,2,2,1,1,1,2,1,4,0,0,72,80,75
1,4,0,1,1,0,1,1,2,0,2,92,76,79
0,1,1,1,1,1,2,1,0,0,0,52,65,69
0,2,4,1,0,1,2,0,1,1,1,61,76,78
0,2,0,1,1,1,1,0,1,0,1,45,57,57
0,1,1,1,1,2,1,0,3,1,2,64,74,73
0,2,4,0,0,1,2,1,1,0,1,40,65,67
0,3,4,1,1,0,2,0,1,0,1,77,88,87
0,1,2,1,1,1,0,1,1,1,0,56,61,57
1,1,5,1,0,2,1,1,3,0,0,87,85,79
0,2,4,1,1,2,1,0,2,0,0,53,58,59
0,3,5,0,1,2,2,0,3,1,1,26,33,31
1,0,1,0,0,1,1,0,2,0,2,51,59,62
0,0,5,0,1,2,2,1,2,0,0,44,64,58
0,3,5,1,1,2,1,1,5,1,0,71,83,84
1,4,4,1,1,1,1,1,3,0,0,86,78,72
0,2,4,0,0,2,2,0,4,1,0,45,73,70
1,3,5,1,1,2,2,1,0,0,2,76,75,73
0,3,4,1,0,1,2,1,1,0,2,84,98,97
0,3,5,1,1,2,2,0,2,1,2,82,91,83
0,0,5,1,1,2,2,0,1,0,2,73,84,78
1,0,1,1,1,1,1,1,1,0,0,67,64,63
1,2,0,1,0,0,2,1,0,0,1,84,98,93
0,4,5,0,1,0,1,1,3,0,2,40,50,47
0,0,5,0,1,0,0,0,5,0,0,35,41,40
0,4,4,1,1,0,1,1,2,0,0,69,77,76
1,3,3,1,1,1,2,0,1,1,1,71,70,75
1,4,5,0,0,2,1,1,0,0,0,75,68,60
0,3,4,1,1,2,2,0,3,0,1,74,66,75
1,4,4,1,1,1,2,1,3,1,2,78,68,68
0,1,2,0,1,1,0,0,5,1,0,48,65,61
1,1,5,1,1,2,1,1,0,1,1,73,62,57
1,3,5,1,1,2,0,0,4,0,1,56,57,51
0,2,5,1,0,1,1,1,3,0,0,60,54,68
0,0,4,0,1,1,1,0,2,1,2,51,66,57
0,3,2,1,0,2,2,1,4,0,0,88,99,100
0,2,2,1,1,2,1,1,0,1,0,55,59,63
1,1,0,1,0,1,1,0,3,1,2,68,66,65
0,3,2,0,0,0,2,0,2,1,0,52,57,56
1,3,0,1,0,3,0,0,5,1,2,86,83,84
1,4,2,1,1,2,1,0,3,0,0,86,74,70
1,2,1,1,0,1,2,1,3,0,1,68,72,66
1,3,4,1,1,1,1,0,4,0,0,70,59,63
1,4,2,0,0,1,2,0,3,0,0,57,56,54
0,3,3,0,0,0,0,1,0,0,2,47,59,68
1,2,1,1,1,1,1,1,2,1,0,88,84,88
1,2,5,0,1,2,1,1,0,0,0,71,72,66
1,2,5,0,1,1,2,0,3,1,2,70,63,55
1,2,2,1,1,2,0,1,4,1,1,57,54,52
1,3,0,1,1,1,1,1,3,1,0,77,69,65
1,0,5,0,1,1,2,1,0,1,0,79,82,73
1,1,2,1,1,3,1,1,4,1,0,48,46,43
0,2,4,0,0,0,2,1,3,0,0,64,85,85
0,2,0,0,1,1,1,0,1,1,2,68,79,77
1,2,4,0,1,1,0,1,3,0,2,64,57,48
1,2,1,0,1,1,2,1,0,1,0,37,56,47
0,3,1,1,1,0,2,0,3,1,0,79,89,89
1,2,1,0,1,1,1,0,1,0,1,52,57,55
1,1,4,0,1,1,2,1,1,1,0,54,54,45
0,4,4,1,1,0,0,0,1,0,0,68,68,74
0,2,4,0,1,3,2,1,4,1,0,77,90,91
0,3,0,0,1,0,2,0,1,1,2,26,31,38
1,0,2,0,0,1,1,0,7,1,2,76,69,67
0,0,2,0,0,2,1,1,3,0,0,79,89,87
0,2,0,1,0,0,2,0,1,0,0,83,85,90
0,2,0,1,0,1,2,1,4,1,0,68,86,84
0,3,5,1,1,1,2,0,5,0,2,57,66,60
1,4,1,1,0,2,2,1,2,1,0,76,62,66
0,3,3,1,1,2,0,1,1,0,0,53,64,70
1,4,0,1,1,2,2,1,4,1,2,78,72,68
1,1,2,1,0,1,2,1,1,0,0,73,71,68
1,0,2,1,1,0,2,1,2,0,0,59,52,46
0,1,0,1,1,2,1,0,3,1,1,48,51,54
1,3,4,0,1,1,2,1,3,0,0,61,47,56
1,1,5,1,0,0,1,1,1,1,0,65,53,58
0,2,4,1,1,1,2,0,1,1,0,83,83,90
0,2,1,1,1,1,2,1,6,1,1,78,86,88
0,1,2,1,1,0,1,1,2,1,1,53,63,68
1,3,2,1,0,0,2,1,4,0,0,68,64,66
0,2,4,1,1,1,1,0,3,1,1,53,47,52
1,4,4,1,1,1,2,1,3,1,1,73,69,70
0,3,3,1,1,1,2,1,2,1,0,74,80,84
0,4,0,1,0,1,1,1,3,1,2,100,91,96
0,3,3,0,1,2,1,1,1,0,0,41,61,57
0,1,5,1,1,1,2,1,3,1,1,79,80,78
1,0,2,1,1,1,1,1,1,1,0,70,71,67
0,2,1,1,1,1,1,0,1,0,0,88,93,89
1,3,5,0,1,1,1,0,2,1,1,61,48,52
0,1,5,1,0,0,1,1,3,0,0,55,61,63
0,1,3,0,0,2,2,1,3,1,0,77,97,94
0,4,4,1,0,0,0,1,1,1,0,64,72,71
0,3,5,1,0,2,1,0,1,1,0,67,79,79
0,1,2,0,0,1,2,0,5,1,0,67,78,79
0,2,0,1,1,2,2,1,4,0,0,91,86,84
1,2,5,0,0,2,2,1,4,1,1,54,60,58
0,3,1,0,1,2,2,0,2,0,1,28,40,46
0,2,0,1,1,1,0,0,1,0,0,60,72,68
0,2,5,1,1,1,0,1,2,0,0,45,53,51
1,4,0,1,0,2,2,1,2,1,1,60,60,56
0,4,0,1,0,1,2,0,4,1,0,79,88,94
1,1,2,1,0,1,2,0,1,1,2,75,70,69
0,2,1,0,0,1,2,1,5,0,0,66,83,83
0,3,2,1,1,1,0,1,1,1,0,49,65,60
1,2,2,1,0,1,2,0,1,0,0,75,69,68
0,3,0,1,1,2,1,0,2,0,2,86,97,93
0,0,5,1,0,1,2,1,3,1,0,92,100,97
1,2,2,1,0,0,1,1,2,0,1,71,66,64
0,2,2,0,1,1,1,0,5,1,1,61,66,64
1,2,3,1,1,1,2,1,1,1,1,77,72,69
1,1,1,0,0,1,1,0,2,0,0,89,91,90
1,3,4,0,1,1,1,0,2,0,0,79,62,65
1,4,0,1,1,0,1,1,1,0,2,56,46,41
1,2,3,0,1,2,1,1,1,1,0,63,69,69
0,1,0,0,1,2,2,0,2,1,1,51,68,68
1,3,5,1,1,1,2,1,2,1,2,75,66,63
0,2,4,1,1,2,1,1,3,1,2,66,76,77
1,2,1,1,0,1,1,0,2,1,1,95,89,92
1,1,0,1,1,0,2,0,2,1,1,46,42,44
0,4,1,0,0,2,0,0,4,0,0,89,98,97
1,1,2,0,1,1,1,1,6,0,1,62,47,47
1,0,1,1,1,1,0,1,1,1,0,88,94,89
1,0,4,1,0,1,2,1,0,1,0,61,51,52
0,1,4,0,0,2,2,0,1,1,2,49,56,59
0,3,5,1,1,1,2,0,2,1,1,78,95,94
0,4,5,1,1,0,0,1,3,1,0,74,77,78
0,3,1,0,1,3,2,1,1,1,0,63,73,78
0,0,2,1,1,1,2,1,3,1,0,55,73,73
0,2,1,0,1,1,1,1,1,1,1,43,62,62
1,2,4,0,1,3,2,0,3,0,1,56,56,52
0,2,1,1,0,1,1,0,2,0,0,94,100,100
0,2,1,1,0,1,2,1,1,1,2,57,80,73
1,1,2,0,1,1,1,0,2,1,0,30,24,15
0,3,2,1,1,1,2,1,4,1,2,71,78,74
0,2,2,1,1,0,2,0,1,1,0,29,29,30
0,4,4,1,1,1,2,0,2,1,0,76,78,80
1,3,2,0,1,1,2,1,1,1,0,60,57,51
1,2,5,1,1,0,2,1,3,0,1,72,70,60
0,2,3,0,1,1,2,1,1,0,0,40,59,55
0,1,0,1,1,1,1,0,1,1,1,57,62,65
1,3,4,0,0,1,2,1,5,1,0,69,60,63
0,2,4,1,1,1,2,1,3,1,1,56,58,64
1,2,1,1,0,1,2,1,0,0,1,91,88,89
0,0,0,1,1,1,2,0,4,1,0,82,93,93
0,2,2,1,1,1,2,1,1,1,0,60,68,72
1,3,3,1,1,1,2,1,1,1,0,95,82,86
1,2,2,0,0,1,2,1,2,0,2,59,51,53
1,0,4,1,0,0,0,1,4,0,0,97,94,83
1,1,0,0,0,0,0,1,1,1,0,66,68,61
1,3,4,0,1,1,1,0,2,1,0,50,57,47
0,2,5,1,0,1,1,1,0,1,0,45,51,56
1,3,4,1,1,2,0,1,1,0,0,64,63,68
1,1,2,1,1,3,1,1,2,0,0,81,60,66
0,1,1,1,0,1,2,1,2,1,2,67,75,82
0,2,2,1,1,1,2,0,5,1,0,75,88,85
1,0,2,1,1,1,2,1,0,1,0,71,74,64
1,3,2,1,1,2,2,0,3,1,2,42,52,52
0,1,5,0,1,1,0,1,2,0,1,67,78,75
1,1,2,1,1,2,2,1,1,1,1,67,64,58
0,1,1,1,0,1,0,1,1,1,0,63,79,78
0,0,2,1,0,1,1,1,7,0,0,70,81,77
0,3,4,1,0,1,2,1,2,1,1,82,84,96
0,0,0,1,0,2,2,0,2,1,0,65,70,74
0,1,5,1,1,0,2,1,1,1,0,73,79,79
1,2,0,0,1,1,2,0,5,1,2,79,68,65
1,3,5,1,1,1,2,0,1,1,2,71,66,62
1,3,0,1,1,0,2,1,4,0,0,90,87,85
0,3,4,0,1,0,1,1,2,0,1,54,70,69
0,2,4,0,0,1,2,1,2,1,0,63,73,71
0,1,1,0,1,1,2,0,4,1,1,74,83,85
1,3,0,1,0,2,2,1,3,0,0,81,72,77
0,2,2,0,1,1,0,0,2,1,1,62,73,64
1,3,0,0,1,1,2,1,0,1,1,50,56,49
0,2,4,1,1,1,1,1,1,0,0,71,79,77
1,1,2,1,1,0,1,1,2,1,0,63,55,55
0,4,3,1,0,2,2,1,2,1,2,97,100,100
1,4,4,1,0,2,2,1,0,1,0,85,75,68
1,0,2,0,1,0,2,1,2,1,0,53,58,44
1,4,4,0,1,1,2,1,3,0,0,93,90,83
0,2,0,1,1,1,0,1,5,1,0,47,52,51
0,4,0,0,1,1,2,0,1,0,1,70,74,76
0,3,0,1,1,1,1,1,2,1,0,79,78,74
0,2,5,1,1,2,2,1,1,1,0,49,63,56
0,3,0,1,0,1,2,1,2,1,0,57,78,79
0,4,1,1,0,2,1,1,4,1,0,81,82,84
0,1,5,0,0,1,2,1,3,1,1,57,62,62
1,3,2,1,1,1,1,1,2,0,0,47,34,36
1,3,2,1,1,1,0,1,2,1,1,83,84,75
0,3,0,0,0,0,2,1,0,1,0,42,61,58
0,3,4,1,1,1,2,1,3,1,0,98,100,99
1,3,3,1,1,0,2,0,1,1,1,79,81,84
0,1,0,0,0,1,1,1,0,0,1,75,93,87
0,2,0,1,0,2,2,1,4,0,0,96,96,99
0,2,4,0,1,1,1,0,2,0,0,63,73,71
1,3,5,0,0,1,1,1,1,1,0,56,59,60
1,2,2,1,1,1,1,0,2,1,0,51,48,43
1,1,4,1,1,0,2,1,4,1,2,48,43,41
1,4,5,1,0,1,1,1,0,1,0,70,51,58
0,3,2,0,1,2,2,1,1,0,1,70,90,82
1,2,4,1,1,2,1,0,3,0,1,52,38,37
0,1,0,0,0,0,2,1,5,0,1,65,75,78
0,2,4,1,0,1,0,1,2,0,2,86,88,93
0,4,4,0,1,1,0,1,1,1,2,52,57,56
1,2,2,0,1,1,1,1,0,0,0,62,60,56
0,2,2,1,1,1,2,1,4,0,0,81,84,82
0,2,0,1,0,1,2,1,4,1,0,59,73,72
1,2,4,1,1,1,2,1,1,1,0,69,64,68
1,1,4,1,0,1,2,1,4,1,0,87,84,86
0,2,5,1,0,1,2,0,1,0,0,77,90,85
1,2,0,0,1,2,1,1,4,1,0,59,55,54
0,4,0,1,1,1,2,1,4,1,2,86,96,93
1,3,4,1,1,1,2,0,2,0,2,56,58,53
0,3,4,0,0,1,1,1,5,0,0,53,59,66
0,2,2,0,1,1,2,1,1,1,0,53,72,64
1,3,5,1,0,2,0,0,4,1,0,75,79,83
0,1,2,1,1,0,0,1,2,0,0,60,61,61
1,3,4,1,1,1,2,1,0,1,0,60,63,59
0,1,2,1,1,1,2,1,0,1,0,74,72,72
1,1,2,1,0,2,2,1,0,1,0,76,62,60
0,3,5,1,1,1,0,1,1,0,2,67,70,74
1,3,1,1,1,1,1,1,3,1,2,79,75,77
0,1,5,0,0,1,0,1,0,1,1,48,65,68
0,2,1,0,1,1,2,1,3,1,0,62,78,79
0,1,5,0,1,1,1,1,4,0,1,48,57,55
0,2,4,0,1,2,1,0,4,0,0,36,44,44
1,4,0,1,0,3,1,0,1,1,0,96,86,84
0,1,3,1,1,1,2,1,1,1,1,75,90,84
0,2,0,1,0,1,2,1,4,1,0,52,59,62
1,2,1,1,0,1,2,0,3,1,1,88,79,77
0,1,5,1,0,1,2,0,2,0,0,32,51,44
0,4,5,0,1,1,1,1,1,1,0,74,80,78
0,1,4,1,1,2,1,0,4,0,1,18,37,32
0,2,3,0,1,1,2,1,3,0,0,52,65,61
1,3,2,0,1,1,1,1,0,1,1,65,73,69
1,4,5,1,0,1,0,0,1,0,1,83,81,73
0,1,2,1,1,3,1,1,1,1,0,43,52,52
0,4,0,0,0,0,1,0,3,0,0,58,69,74
1,3,2,1,1,0,2,1,0,0,0,70,70,70
0,4,0,0,1,1,2,1,0,1,0,70,84,81
0,3,4,0,1,2,2,1,2,1,1,62,72,73
1,2,2,1,1,1,2,1,5,0,0,90,75,69
1,1,1,1,1,1,2,1,3,1,0,59,54,51
1,0,5,1,1,1,2,0,1,0,0,51,31,36
1,0,2,0,1,2,2,1,1,1,2,46,47,49
0,2,3,1,0,1,1,1,3,1,1,53,63,67
1,4,5,1,0,1,2,1,2,1,2,89,85,77
1,3,1,0,0,1,1,1,0,1,0,62,71,77
0,2,5,1,1,1,2,0,3,0,1,74,89,86
1,4,4,0,0,1,1,1,1,0,0,50,52,52
0,2,5,0,1,3,2,0,3,0,2,49,58,53
1,1,5,1,1,1,1,1,0,1,1,67,53,53
0,0,4,0,1,2,1,1,3,1,2,64,61,59
1,0,1,1,1,0,0,1,1,1,2,63,59,57
1,1,4,1,1,2,1,1,2,1,0,59,50,46
0,2,2,1,0,2,1,1,2,1,0,61,64,75
1,4,2,1,1,2,1,0,3,0,2,77,65,59
0,0,2,1,0,1,1,1,6,1,2,79,84,82
1,1,0,0,0,0,1,1,1,1,1,57,56,53
0,3,2,0,1,0,2,1,4,1,0,39,52,46
1,2,5,1,1,1,1,1,0,1,0,65,58,52
0,1,2,0,0,1,2,0,2,0,2,23,44,36
1,1,4,0,0,2,2,1,2,1,2,76,78,77
0,3,5,0,0,2,1,1,0,1,1,39,64,64
1,4,3,1,1,0,2,1,1,0,1,88,85,84
1,2,3,1,0,1,2,1,7,0,0,91,85,85
0,2,2,1,1,1,1,0,4,0,0,60,73,69
1,3,0,1,1,2,1,1,0,1,0,82,76,70
0,0,2,1,1,1,2,1,3,0,1,59,66,61
1,4,5,1,1,1,0,0,2,0,1,77,65,58
0,1,1,1,1,1,1,1,0,0,1,96,96,96
1,1,4,0,1,1,1,0,1,1,0,77,69,66
0,2,1,1,1,1,1,0,2,0,0,66,80,83
1,2,0,0,1,1,2,1,3,1,0,87,73,72
0,4,3,0,1,1,2,1,4,1,2,83,87,88
1,3,1,0,0,2,2,0,2,0,1,37,41,37
0,2,4,1,0,2,1,1,1,0,1,70,70,80
1,2,0,1,1,1,1,1,3,1,0,99,94,93
1,4,0,0,0,1,2,1,3,1,2,80,75,73
1,1,2,1,1,1,2,1,1,1,0,59,58,47
1,1,0,1,0,1,2,1,1,0,0,82,84,78
1,4,0,0,1,1,0,1,1,1,1,84,87,78
0,2,1,0,1,1,2,1,3,0,1,41,61,59
1,3,4,1,1,1,2,1,3,1,0,81,82,84
1,2,5,1,1,1,2,1,2,0,0,57,61,54
1,2,1,1,0,1,2,1,3,1,1,61,63,64
0,4,1,1,0,2,1,0,3,1,1,70,69,70
0,1,2,0,1,1,1,1,5,0,2,67,75,74
1,3,1,0,1,1,2,1,1,1,2,56,46,44
0,3,4,0,1,1,2,0,3,1,0,69,65,74
1,3,2,0,1,0,2,0,3,1,1,42,50,47
0,4,4,1,0,1,1,0,1,0,0,88,86,93
0,4,0,1,1,1,1,1,1,1,0,87,93,87
1,3,5,1,0,0,2,1,0,0,2,90,75,76
0,4,0,1,1,0,0,1,3,1,1,55,60,65
0,3,5,1,0,2,2,1,1,0,0,65,78,82
1,3,3,1,1,1,2,0,3,0,0,85,84,89
0,2,3,1,1,1,2,1,2,1,0,73,79,76
0,3,1,0,0,0,2,1,0,0,0,93,100,100
0,3,5,0,1,0,1,1,4,1,0,69,85,86
0,2,1,0,1,0,2,0,1,1,0,67,75,72
0,0,4,1,1,1,1,0,1,1,0,71,85,84
0,2,1,1,0,1,2,1,3,0,0,52,61,66
0,2,1,0,0,2,1,1,2,1,1,46,61,66
0,1,0,0,1,1,2,1,2,1,2,47,61,56
0,4,4,1,1,1,1,0,2,0,0,70,71,67
1,4,1,1,0,2,1,1,7,0,0,100,100,100
0,2,2,1,1,1,1,1,1,0,1,43,60,52
0,2,0,1,0,1,1,1,0,0,0,58,78,82
